Year,State,Flyway,Zone,American Black Duck,American Coot,American Wigeon,Blue-winged and Cinnamon Teal (not speciated),Brant,Bufflehead,Canada Goose (not speciated),Canvasback,Eider (not speciated),Emperor Goose,Gadwall,Goldeneye (not speciated),Greater White-fronted Goose,Green-winged Teal,Harlequin Duck,Light Geese (not differentiated by color phase),Long-tailed Duck,Mallard,Merganser (not speciated),Mexican-like Duck,Mottled Duck,Northern Pintail,Northern Shoveler,Redhead,Ring-necked Duck,Ruddy Duck,Sandhill Crane,Scaup (not speciated),Scoters,Swan (not differentiated),Unidentified Ducks,Whistling Duck,Wood Duck,Miscellaneous Ducks
2015,WM,PF,WM:WestCoast,0,0,0,0,23899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,WY,PF,WY:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,AK,PF,AK:Izembek,0,0,0,0,48140,0,0,0,8343,37248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,AZ,PF,AZ:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,AZ,PF,AZ:2,0,602,101,0,0,3,817,25,0,0,501,0,0,464,0,0,0,916,341,0,0,105,939,100,12,0,0,0,0,0,0,0,0,0
2014,AZ,PF,AZ:3,0,162,0,0,0,0,0,0,0,0,194,0,0,231,0,0,0,11,63,0,0,0,403,0,0,10,0,0,0,0,0,0,0,0
2014,CA,PF,CA:1,0,0,0,0,4700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,CA,PF,CA:2,0,20,9450,0,0,25,1248,10,0,0,0,15,125,0,0,0,0,1352,15,0,0,1350,250,0,0,35,0,5,0,3,0,0,0,0
2014,CA,PF,CA:3,0,251470,403890,172,0,1138,5015,9755,0,0,117937,695,288021,180984,0,0,0,138019,68,0,0,1221041,242987,55,13736,4584,10243,549,0,59983,680,0,650,0
2014,CA,PF,CA:4,0,98278,37040,32,1885,8266,31362,27594,0,0,1522,913,26316,18088,0,0,0,15928,76,0,0,53503,43127,162,1000,42437,4911,32164,3157,6603,1642,0,25,0
2014,CA,PF,CA:5,0,244251,7996,2966,0,1541,50013,23350,0,0,22458,469,10035,45132,0,0,0,8670,2185,0,0,20843,144972,0,7684,22603,1750,9061,0,85,40907,0,50,0
2014,CA,PF,CA:6,0,0,0,0,1331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
